,Average Dwelltime [ms],Normalised Gaze Transition Entropy,Normalised Stationary Gaze Entropy,Total Dwells,Total Hits
participant01_trial01,799.6250000000005,0.0,0.20275070350136706,8.0,60.0
participant01_trial02,544.3636363636364,,0.17303298212223678,11.0,59.0
Mean participant01,671.9943181818185,0.0,0.18789184281180193,9.5,59.5
Standard Deviation participant01,180.49704120219823,,0.021013602308595464,2.1213203435596424,0.7071067811865476
