,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
participant23_trial01,241.36969696969697,990.0,238956.0,370907.0,32.097421203438394,1745.0,56010.0,81/19
participant23_trial02,294.52830188679246,424.0,124880.0,167377.0,32.85362853628536,813.0,26710.0,82/18
participant23_trial03,261.56953642384104,302.0,78994.0,111449.0,33.87832699619772,526.0,17820.0,82/18
Mean participant23,265.8225117601102,572.0,147610.0,216577.66666666666,32.94312557864049,1028.0,33513.333333333336,82/18
Standard Deviation participant23,26.833284714904867,367.1021656160584,82367.77304261661,136547.2176257478,0.8938196972061361,637.3060489278287,19983.318876836584,1
