event_type	start_time	end_time	duration	saccade_amplitude
Saccade	52684	52764	80	18.99
Fixation	52764	53224	460	
Saccade	53224	53284	60	
Saccade	53324	53334	10	
Fixation	53334	53584	250	
Fixation	53644	53724	80	
Saccade	53724	53753	30	
Saccade	53773	53833	60	
Fixation	53873	54033	160	
Saccade	54033	54053	20	
Saccade	54073	54093	20	
Fixation	54093	54363	270	
Saccade	54363	54433	70	18.84
Fixation	54433	54723	290	
Saccade	54723	54773	50	15.95
Fixation	54773	55073	300	
Saccade	55073	55103	30	
Saccade	55193	55213	20	
Saccade	55263	55283	20	
Fixation	55472	56132	660	
Saccade	56132	56142	10	5.78
Fixation	56142	56672	530	
Fixation	56692	56802	110	
Saccade	56802	56932	130	
Saccade	56992	57032	40	
Saccade	57042	57052	10	
Saccade	57072	57092	20	
Fixation	57092	57191	100	
Saccade	57191	57221	30	
Fixation	57241	57721	480	
Saccade	57721	57741	20	5.34
Fixation	57741	58071	330	
Saccade	58071	58081	10	2.14
Fixation	58081	58231	150	
Saccade	58231	58271	40	8.29
Fixation	58271	58421	150	
Fixation	58441	58551	110	
Fixation	58621	59150	530	
Saccade	59220	59240	20	
Fixation	59290	59620	330	
Saccade	59620	59710	90	
Saccade	59750	59800	50	
Fixation	59800	60050	250	
Saccade	60050	60060	10	0.97
Fixation	60060	60180	120	
Saccade	60180	60190	10	
Saccade	60200	60230	30	
Saccade	60270	60290	20	
Fixation	60290	60500	210	
Saccade	60500	60510	10	3.85
Fixation	60510	60599	90	
Saccade	60599	60619	20	
Saccade	60639	60709	70	
Fixation	60709	61099	390	
Fixation	61139	61899	760	
Fixation	62009	62258	250	
Saccade	62258	62348	90	
Saccade	62378	62398	20	
Fixation	62398	62468	70	
Saccade	62468	62498	30	8.43
Fixation	62498	62608	110	
Fixation	62668	62768	100	
Fixation	62868	63348	480	
Fixation	63388	63568	180	
Saccade	63568	63628	60	18.75
Fixation	63628	63788	160	
Fixation	63808	63878	70	
Saccade	63878	63918	40	8.69
Fixation	63918	64077	160	
Saccade	64077	64107	30	4.01
Fixation	64107	64187	80	
Saccade	64207	64237	30	
Saccade	64267	64287	20	
Fixation	64287	64437	150	
Fixation	64457	64527	70	
Saccade	64527	64547	20	4.86
Fixation	64547	64697	150	
Fixation	64757	65267	510	
Fixation	65287	65527	240	
Saccade	65667	65686	20	
Saccade	65706	65726	20	
Fixation	65726	66086	360	
Saccade	66086	66096	10	10.63
Fixation	66096	66266	170	
Saccade	66466	66496	30	
Fixation	66496	66746	250	
Saccade	66746	66836	90	25.73
Fixation	66836	66996	160	
Saccade	66996	67016	20	
Saccade	67076	67096	20	
Fixation	67136	67246	110	
Fixation	67286	67435	150	
Saccade	67435	67465	30	5.56
Fixation	67465	67535	70	
Fixation	67585	67755	170	
Saccade	67755	67765	10	2.18
Fixation	67765	68105	340	
Fixation	68205	68305	100	
Saccade	68305	68325	20	4.26
Fixation	68325	68545	220	
Saccade	68545	68565	20	
Fixation	68655	68905	250	
Saccade	68905	68915	10	5.27
Fixation	68915	69284	370	
Saccade	69324	69354	30	
Fixation	69354	69544	190	
Fixation	69684	69934	250	
Saccade	69934	70024	90	27.11
Fixation	70024	70094	70	
Fixation	70184	70274	90	
Fixation	70294	70514	220	
Saccade	70514	70524	10	3.72
Fixation	70524	70873	350	
Fixation	70893	71033	140	
Fixation	71053	71393	340	
Fixation	71493	71573	80	
Saccade	71573	71583	10	3.03
Fixation	71583	71763	180	
Saccade	71763	71783	20	5.2
Fixation	71783	72033	250	
Saccade	72033	72053	20	3.59
Fixation	72053	72183	130	
Fixation	72303	72652	350	
Saccade	72652	72762	110	
Saccade	72772	72862	90	
Fixation	72862	73072	210	
Saccade	73092	73122	30	
Fixation	73202	73322	120	
Fixation	73342	73562	220	
Fixation	73682	74181	500	
Saccade	74181	74211	30	4.87
Fixation	74211	74281	70	
Fixation	74301	74571	270	
Fixation	74611	74681	70	
Fixation	74741	75021	280	
Saccade	75031	75131	100	
Saccade	75141	75161	20	
Saccade	75171	75201	30	
Saccade	75311	75341	30	
Fixation	75391	75491	100	
Saccade	75491	75501	10	
Fixation	75751	75910	160	
Saccade	75910	75940	30	6.8
Fixation	75940	76210	270	
Saccade	76210	76220	10	2.63
Fixation	76220	76360	140	
Saccade	76360	76390	30	6.41
Fixation	76390	76490	100	
Fixation	76670	77100	430	
Saccade	77100	77140	40	14.86
Fixation	77140	77410	270	
Fixation	77530	77739	210	
Fixation	77759	77929	170	
Saccade	77929	77949	20	3.23
Fixation	77949	78149	200	
Fixation	78169	78269	100	
Fixation	78289	78529	240	
Fixation	78589	79189	600	
Fixation	79269	79738	470	
Fixation	79758	80308	550	
Fixation	80358	80608	250	
Fixation	80738	81977	1239	
Fixation	81997	82187	190	
Fixation	82327	82547	220	
Fixation	82647	82846	200	
Saccade	82846	82906	60	
