,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
Mean participant01,768.0490620490623,491.0,70.0,0.9086188256210181,0.7765695804760284
Mean participant02,794.5337256027551,436.5,59.5,0.8943324717251389,0.7889618483753398
Mean group_difficult,781.2913938259087,463.75,64.75,0.9014756486730785,0.7827657144256841
Standard Deviation group_difficult,18.727485196260403,38.53731957466684,7.424621202458749,0.010101977718207098,0.008762656665883434
