,Cap Off,Apply Tip,Setting Units,Priming,Injection,Remove Tip,Cap On
Mean participant04,-0.17255661221336593,-0.5205683961199028,0.8217018124211177,1.0204839174052232,-1.6392896487892217,0.9231374315505949,-0.3500634793604733
Mean participant03,-0.08169456620110056,,0.6144314861193125,0.019264882256295083,0.5666525289682106,0.2310636204126182,-0.03138946450267749
Mean group_easy,-0.12712558920723324,-0.5205683961199028,0.7180666492702151,0.5198743998307591,-0.5363185599105056,0.5771005259816065,-0.19072647193157538
Outside 2x Stdev,No,No,No,No,No,No,No
Focal/Ambient,ambient,ambient,Focal,Focal,ambient,Focal,ambient
