,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
Mean group_difficult,781.2913938259087,463.75,64.75,0.9014756486730785,0.7827657144256841
Mean group_easy,778.6210870762936,488.25,68.25,0.9276908963654565,0.6369299134403156
Mean All Groups,779.9562404511012,476.0,66.5,0.9145832725192675,0.7098478139329998
Standard Deviation All Groups,1.8881920105010208,17.324116139070416,2.4748737341529163,0.018536979413765503,0.10312148381652587
