,Average Dwelltime [ms],Normalised Gaze Transition Entropy,Normalised Stationary Gaze Entropy,Total Dwells,Total Hits
Mean group_difficult,2517.4916666666663,0.6147238110243597,0.2700718682049892,4.25,93.0
Mean group_easy,1789.4333333333332,0.5945377326290354,0.29800692466846224,5.25,86.25
Mean All Groups,2153.4624999999996,0.6046307718266976,0.2840393964367257,4.75,89.625
Standard Deviation All Groups,514.8149845993756,0.014273712918897053,0.01975306785815089,0.7071067811865476,4.772970773009196
