,K-coefficient,start_time,Action,Outside 2x Stdev,Focal/Ambient
0,-0.19833699644103164,2563,Cap Off,False,Ambient
1,0.3641978686278723,10699,Apply Tip,False,Focal
2,-0.8274040874217876,14437,Priming,True,Ambient
3,4.921364252539506,26470,Setting Units,True,Focal
4,1.829464702137376,35504,Setting Units,True,Focal
5,0.4516463164871357,47687,Injection,False,Focal
6,1.6791115200434843,54203,Remove Tip,True,Focal
7,-0.7173728814350522,59420,Cap On,False,Ambient
8,-1.1477736115342567,59970,Cap On,True,Ambient
9,0.12545858646195965,60090,Cap On,False,Focal
