,Cap Off,Apply Tip,Setting Units,Priming,Injection,Remove Tip,Cap On
K-Coefficient per action,[-0.19833699644103164],[0.3641978686278723],"[4.921364252539506, 1.829464702137376]",[-0.8274040874217876],[0.4516463164871357],[1.6791115200434843],"[-0.7173728814350522, -1.1477736115342567, 0.12545858646195965]"
Mean participant02_trial01,-0.19833699644103164,0.3641978686278723,3.375414477338441,-0.8274040874217876,0.4516463164871357,1.6791115200434843,-0.5798959688357831
Outside 2x Stdev,No,No,Yes,Yes,No,Yes,No
Focal/Ambient,Ambient,Focal,Focal,Ambient,Focal,Focal,Ambient
