event_type	start_time	end_time	duration	saccade_amplitude
Saccade	0	25	25	
Saccade	45	105	60	
Saccade	285	305	20	
Fixation	305	415	110	
Fixation	435	555	120	
Saccade	615	625	10	
Fixation	705	1264	560	
Fixation	1284	1354	70	
Fixation	1424	1634	210	
Fixation	1674	1804	130	
Fixation	1824	1924	100	
Fixation	2074	2274	200	
Fixation	2344	2474	130	
Fixation	2494	2583	90	
Fixation	2623	2773	150	
Fixation	2793	2923	130	
Fixation	2943	3033	90	
Saccade	3093	3113	20	
Fixation	3113	3233	120	
Saccade	3323	3393	70	
Saccade	3423	3453	30	
Saccade	3493	3513	20	
Fixation	3513	3603	90	
Fixation	3623	3733	110	
Fixation	3753	3823	70	
Saccade	3823	3833	10	
Saccade	3873	3993	120	
Saccade	4053	4073	20	
Saccade	4083	4153	70	
Fixation	4153	4282	130	
Saccade	4332	4352	20	
Fixation	4352	4452	100	
Fixation	4602	4872	270	
Fixation	4892	5002	110	
Fixation	5042	5182	140	
Fixation	5322	5682	360	
Fixation	5722	5892	170	
Saccade	5892	5922	30	
Saccade	5992	6012	20	
Saccade	6021	6071	50	
Saccade	6101	6121	20	
Fixation	6271	6381	110	
Saccade	6451	6471	20	
Fixation	6521	6781	260	
Fixation	6801	6881	80	
Saccade	6881	6951	70	
Saccade	6991	7041	50	
Saccade	7101	7121	20	
Saccade	7131	7181	50	
Saccade	7261	7301	40	
Fixation	7371	7501	130	
Fixation	7521	7641	120	
Saccade	7691	7770	80	
Saccade	7920	7950	30	
Saccade	7960	7990	30	
Saccade	8090	8110	20	
Fixation	8110	8190	80	
Fixation	8210	8300	90	
Saccade	8340	8370	30	
Fixation	8370	8600	230	
Saccade	8680	8710	30	
Fixation	8710	8870	160	
Fixation	8940	9090	150	
Saccade	9090	9120	30	
Fixation	9160	9270	110	
Fixation	9290	9400	110	
Fixation	9420	9569	150	
Saccade	9569	9599	30	
Saccade	9659	9679	20	
Fixation	9719	9859	140	
Saccade	9859	9879	20	4.57
Fixation	9879	9969	90	
Saccade	9969	9979	10	2.83
Fixation	9979	10099	120	
Saccade	10139	10179	40	
Fixation	10179	10399	220	
Fixation	10439	10669	230	
Fixation	10709	10909	200	
Fixation	10969	11089	120	
Saccade	11109	11139	30	
Fixation	11188	11278	90	
Saccade	11278	11288	10	3.21
Fixation	11288	11518	230	
Fixation	11538	11638	100	
Fixation	11658	11768	110	
Saccade	11768	11868	100	
Saccade	11878	11898	20	
Saccade	11908	11928	20	
Saccade	12008	12048	40	
Fixation	12068	12178	110	
Saccade	12178	12198	20	
Fixation	12268	12488	220	
Fixation	12508	13067	560	
Fixation	13087	13377	290	
Saccade	13377	13417	40	
Fixation	13507	13667	160	
Saccade	13667	13767	100	
Saccade	13787	13887	100	
Fixation	13907	14037	130	
Fixation	14057	14147	90	
Fixation	14207	14307	100	
Saccade	14307	14377	70	
Saccade	14387	14407	20	
Saccade	14427	14457	30	
Saccade	14477	14497	20	
Saccade	14507	14517	10	
Saccade	14527	14567	40	
Saccade	14627	14646	20	
Saccade	14676	14716	40	
Fixation	14756	14866	110	
Fixation	14886	14966	80	
Saccade	14966	14996	30	
Fixation	15036	15176	140	
Saccade	15176	15196	20	0.97
Fixation	15196	15386	190	
Saccade	15506	15516	10	
Fixation	15516	15716	200	
Saccade	15776	15796	20	
Fixation	15856	15986	130	
Fixation	16136	16256	120	
Fixation	16276	16415	140	
Fixation	16435	16765	330	
Fixation	16805	17015	210	
Saccade	17125	17145	20	
Fixation	17145	17255	110	
Fixation	17335	17565	230	
Saccade	17565	17585	20	
Fixation	17605	17865	260	
Saccade	17885	17915	30	
Saccade	18025	18045	20	
Fixation	18045	18264	220	
Fixation	18284	18564	280	
Fixation	18584	18754	170	
Fixation	18774	19274	500	
Fixation	19294	19424	130	
Saccade	19444	19534	90	
Saccade	19544	19594	50	
Fixation	19594	19664	70	
Fixation	19704	19883	180	
Fixation	19903	20033	130	
Saccade	20033	20093	60	
Saccade	20113	20133	20	
Fixation	20133	20233	100	
Saccade	20233	20273	40	
Saccade	20353	20373	20	
Fixation	20393	20563	170	
Saccade	20563	20583	20	
Saccade	20613	20633	20	
Fixation	20653	20933	280	
Saccade	20933	20953	20	
Saccade	20993	21013	20	
Fixation	21013	21213	200	
Saccade	21303	21393	90	
Saccade	21433	21493	60	
Fixation	21493	21612	120	
Fixation	21652	21722	70	
Saccade	21722	21752	30	
Fixation	21802	21902	100	
Fixation	21942	22052	110	
Fixation	22072	22302	230	
Saccade	22302	22332	30	
Fixation	22352	22442	90	
Fixation	22522	22622	100	
Fixation	22642	22752	110	
Fixation	22792	23012	220	
Fixation	23052	23451	400	
Fixation	23621	23711	90	
Fixation	23751	23881	130	
Fixation	23921	24001	80	
Fixation	24021	24131	110	
Saccade	24151	24241	90	
Saccade	24291	24321	30	
Saccade	24351	24381	30	
Fixation	24421	24511	90	
Saccade	24511	24531	20	
Fixation	24571	24821	250	
Fixation	24841	24931	90	
Saccade	24931	24950	20	
Fixation	25010	25350	340	
Fixation	25370	25450	80	
Saccade	25510	25540	30	
Fixation	25540	25690	150	
Saccade	25740	25750	10	
Fixation	25750	25930	180	
Saccade	25930	26060	130	
Saccade	26080	26130	50	
Fixation	26130	26220	90	
Fixation	26240	26470	230	
Saccade	26490	26570	80	
Saccade	26600	26670	70	
Saccade	26689	26769	80	
Saccade	26789	26809	20	
Saccade	26829	26889	60	
Saccade	26959	26989	30	
Saccade	27019	27049	30	
Fixation	27089	27199	110	
Fixation	27219	27299	80	
Saccade	27299	27319	20	2.91
Fixation	27319	27389	70	
Fixation	27409	27499	90	
Fixation	27519	27619	100	
Fixation	27639	28019	380	
Fixation	28059	28189	130	
Fixation	28209	28319	110	
Fixation	28359	28428	70	
Fixation	28488	28748	260	
Saccade	28828	28868	40	
Saccade	28888	28918	30	
Saccade	28938	29018	80	
Saccade	29038	29058	20	
Fixation	29058	29238	180	
Saccade	29238	29258	20	
Saccade	29298	29318	20	
Saccade	29388	29468	80	
Saccade	29478	29498	20	
Saccade	29518	29608	90	
Saccade	29628	29638	10	
Fixation	29638	29968	330	
Fixation	30038	30107	70	
Saccade	30107	30137	30	
Saccade	30157	30247	90	
Saccade	30307	30327	20	
Fixation	30327	30487	160	
Saccade	30487	30517	30	
Saccade	30577	30597	20	
Fixation	30597	30687	90	
Saccade	30687	30697	10	
Saccade	30887	30907	20	
Saccade	30957	30977	20	
Fixation	30977	31097	120	
Saccade	31177	31237	60	
Saccade	31257	31287	30	
