event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	405	405	
Fixation	425	775	350	
Fixation	795	1034	240	
Saccade	1034	1054	20	
Saccade	1074	1094	20	
Fixation	1094	1224	130	
Saccade	1244	1314	70	
Saccade	1324	1344	20	
Saccade	1374	1384	10	
Saccade	1424	1454	30	
Saccade	1524	1604	80	
Saccade	1624	1644	20	
Fixation	1644	1724	80	
Saccade	1724	1754	30	
Saccade	1804	1834	30	
Saccade	1874	1964	90	
Saccade	2044	2184	140	
Saccade	2204	2234	30	
Saccade	2274	2304	30	
Fixation	2304	2454	150	
Saccade	2454	2524	70	
Fixation	2544	2653	110	
Saccade	2653	2673	20	
Fixation	2693	2803	110	
Fixation	2823	2923	100	
Fixation	2973	3053	80	
Fixation	3093	3203	110	
Saccade	3353	3373	20	
Fixation	3373	3453	80	
Fixation	3493	3603	110	
Fixation	3643	3953	310	
Saccade	3953	3963	10	2.64
Fixation	3963	4033	70	
Fixation	4053	4203	150	
Fixation	4323	4502	180	
Fixation	4522	4622	100	
Fixation	4642	4722	80	
Fixation	4742	4852	110	
Fixation	4872	5252	380	
Fixation	5272	5422	150	
Fixation	5442	5542	100	
Fixation	5592	5972	380	
Fixation	6042	6231	190	
Fixation	6271	6381	110	
Fixation	6421	6561	140	
Saccade	6561	6571	10	3.5
Fixation	6571	6671	100	
Fixation	6691	6761	70	
Saccade	6761	6781	20	3.39
Fixation	6781	6881	100	
Saccade	6881	6951	70	
Saccade	6971	6991	20	
Fixation	6991	7091	100	
Saccade	7091	7121	30	7.38
Fixation	7121	7241	120	
Fixation	7261	7471	210	
Saccade	7511	7571	60	
Fixation	7571	7900	330	
Saccade	7960	8070	110	
Saccade	8130	8180	50	
Fixation	8220	8340	120	
Fixation	8360	8500	140	
Saccade	8500	8510	10	3.84
Fixation	8510	8620	110	
Fixation	8660	8770	110	
Fixation	8790	8920	130	
Saccade	9000	9020	20	
Fixation	9060	9200	140	
Fixation	9220	9320	100	
Fixation	9370	9470	100	
Fixation	9490	9599	110	
Fixation	9619	9739	120	
Fixation	9759	10009	250	
Fixation	10029	10159	130	
Fixation	10179	10439	260	
Fixation	10459	10549	90	
Saccade	10549	10569	20	
Saccade	10629	10659	30	
Saccade	10819	10869	50	
Fixation	10889	10969	80	
Saccade	11009	11029	20	
Fixation	11029	11139	110	
Fixation	11159	11408	250	
Saccade	11428	11468	40	
Fixation	11468	11598	130	
Saccade	11598	11658	60	26.45
Fixation	11658	11838	180	
Saccade	11858	11908	50	
Saccade	12038	12058	20	
Fixation	12058	12218	160	
Fixation	12278	12378	100	
Saccade	12378	12498	120	
Fixation	12538	12698	160	
Saccade	12698	12718	20	9.63
Fixation	12718	12908	190	
Saccade	12908	13008	100	
Saccade	13057	13077	20	
Fixation	13077	13187	110	
Saccade	13187	13207	20	
Fixation	13227	13357	130	
Fixation	13377	13467	90	
Saccade	13467	13487	20	
Saccade	13527	13547	20	
Fixation	13547	13767	220	
Fixation	13827	14007	180	
Saccade	14007	14037	30	
Saccade	14077	14117	40	
Fixation	14117	14297	180	
Fixation	14357	14487	130	
Saccade	14537	14547	10	
Fixation	14627	14747	120	
Saccade	14747	14766	20	4.67
Fixation	14766	15016	250	
Saccade	15016	15036	20	3.68
Fixation	15036	15286	250	
Saccade	15286	15306	20	
Fixation	15326	15526	200	
Saccade	15526	15546	20	4.99
Fixation	15546	15736	190	
Fixation	15756	15856	100	
Fixation	15876	15946	70	
Saccade	15946	15956	10	2.69
Fixation	15956	16216	260	
Saccade	16216	16236	20	4.41
Fixation	16236	16386	150	
Saccade	16426	16456	30	
Fixation	16475	16675	200	
Fixation	16695	16895	200	
Saccade	16895	16915	20	
Saccade	16955	16975	20	
Fixation	16975	17205	230	
Saccade	17225	17265	40	
Fixation	17265	17335	70	
Fixation	17355	17635	280	
Fixation	17655	17955	300	
Fixation	17975	18184	210	
Saccade	18254	18274	20	
Fixation	18274	18354	80	
Fixation	18404	18654	250	
Fixation	18694	18954	260	
Fixation	18994	19614	620	
Fixation	19654	19774	120	
Saccade	19774	19884	110	
Saccade	19894	19914	20	
Saccade	19923	19943	20	
Saccade	19993	20003	10	
Fixation	20003	20083	80	
Saccade	20083	20103	20	
Saccade	20163	20183	20	
Saccade	20223	20273	50	
Fixation	20273	20353	80	
Fixation	20373	20603	230	
Fixation	20693	20873	180	
Saccade	20983	20993	10	
Fixation	20993	21373	380	
Fixation	21413	21623	210	
Fixation	21643	21742	100	
Saccade	21742	21822	80	
Saccade	21842	21882	40	
Fixation	21882	21962	80	
Saccade	21962	21982	20	
Saccade	22012	22052	40	
Saccade	22092	22122	30	
Fixation	22122	22222	100	
Saccade	22222	22232	10	5.27
Fixation	22232	22302	70	
Saccade	22302	22362	60	23.35
Fixation	22362	22442	80	
Saccade	22552	22572	20	
Fixation	22572	22652	80	
Fixation	22672	22752	80	
Saccade	22772	22792	20	
Fixation	22792	22892	100	
Fixation	22912	22992	80	
Saccade	22992	23002	10	2.64
Fixation	23002	23272	270	
Saccade	23272	23292	20	4.32
Fixation	23292	23731	440	
Saccade	23731	23751	20	4.77
Fixation	23751	24061	310	
Saccade	24061	24071	10	
Fixation	24141	24371	230	
Saccade	24461	24541	80	
Fixation	24541	24671	130	
Fixation	24691	25200	510	
Fixation	25220	25350	130	
Fixation	25520	25650	130	
Fixation	25690	25800	110	
Fixation	25860	25950	90	
Fixation	25970	26080	110	
Fixation	26120	26390	270	
Fixation	26410	26500	90	
Fixation	26540	26640	100	
