Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
47987	48057	70	974.0	610.0
48696	48846	150	940.0	656.0
48866	48956	90	1017.0	652.0
49016	49396	380	1084.0	654.0
49706	49806	100	1714.0	750.0
49836	49906	70	1440.0	585.0
49956	50046	90	1530.0	718.0
50145	50305	160	1421.0	672.0
50515	50645	130	706.0	658.0
51045	51245	200	1226.0	659.0
52014	52104	90	857.0	608.0
52124	52304	180	922.0	681.0
52354	52514	160	863.0	424.0
52564	52664	100	852.0	439.0
52884	52964	80	871.0	478.0
52994	53074	80	839.0	477.0
53114	53324	210	801.0	479.0
53394	53563	170	791.0	544.0
53583	53893	310	805.0	528.0
53913	54003	90	830.0	533.0
54063	54243	180	931.0	635.0
54363	54463	100	893.0	527.0
54513	54743	230	926.0	531.0
54763	54993	230	932.0	558.0
55332	55442	110	1353.0	540.0
55462	55562	100	1324.0	570.0
55582	55692	110	1285.0	569.0
55762	55842	80	1287.0	610.0
56162	56242	80	1499.0	512.0
56272	56402	130	1456.0	676.0
56462	56822	360	1355.0	644.0
56841	57141	300	1347.0	639.0
57181	57361	180	1336.0	624.0
57841	57941	100	738.0	636.0
57981	58131	150	796.0	664.0
58181	58361	180	1056.0	693.0
58610	58760	150	628.0	655.0
58790	58870	80	882.0	709.0
58950	59090	140	1001.0	676.0
59200	59340	140	977.0	688.0
59750	59890	140	968.0	528.0
59910	59990	80	980.0	524.0
60030	60200	170	1003.0	531.0
60459	60649	190	1032.0	529.0
60709	60839	130	918.0	492.0
61059	61129	70	799.0	623.0
61309	61429	120	1167.0	730.0
61449	61539	90	1122.0	717.0
61789	61879	90	1425.0	294.0
62008	62108	100	684.0	532.0
62128	62198	70	735.0	508.0
62328	62408	80	797.0	456.0
62548	62688	140	824.0	415.0
62728	62828	100	861.0	469.0
62998	63188	190	914.0	545.0
63258	63767	510	870.0	457.0
63827	63977	150	897.0	546.0
63997	64197	200	884.0	516.0
64267	64407	140	857.0	562.0
64707	64787	80	1219.0	613.0
64877	64977	100	1045.0	635.0
64997	65107	110	942.0	660.0
65247	65386	140	777.0	549.0
66156	66226	70	924.0	780.0
66246	66396	150	926.0	765.0
66646	66756	110	1044.0	697.0
66826	67125	300	1094.0	675.0
67225	67305	80	1017.0	719.0
67515	67605	90	1837.0	890.0
67775	67855	80	1486.0	846.0
67875	68035	160	1452.0	842.0
68824	68944	120	454.0	928.0
69684	69764	80	1078.0	652.0
69814	69944	130	1068.0	663.0
70064	70264	200	1070.0	692.0
70344	70493	150	1076.0	672.0
70613	70743	130	1009.0	684.0
70913	71003	90	1468.0	711.0
71483	71563	80	1378.0	700.0
71583	71713	130	1363.0	702.0
71733	71973	240	1306.0	708.0
71993	72113	120	1359.0	667.0
72132	72272	140	1438.0	650.0
72302	72392	90	1462.0	451.0
72412	72632	220	1438.0	466.0
72652	72922	270	1375.0	618.0
72982	73062	80	1192.0	585.0
73552	73762	210	559.0	665.0
73782	73911	130	725.0	608.0
74011	74161	150	931.0	705.0
74211	74341	130	774.0	578.0
74491	74661	170	894.0	649.0
74761	74851	90	828.0	653.0
74931	75161	230	1038.0	533.0
75201	75321	120	960.0	518.0
75391	75760	370	799.0	610.0
75780	76040	260	713.0	612.0
76160	76290	130	1015.0	763.0
76300	76430	130	946.0	687.0
76460	76720	260	876.0	587.0
76730	77120	390	962.0	632.0
77150	77749	600	940.0	606.0
77919	78139	220	1487.0	521.0
78589	78659	70	934.0	296.0
78849	78928	80	967.0	471.0
78998	79078	80	881.0	652.0
79298	79408	110	956.0	637.0
79798	80178	380	878.0	449.0
80198	80348	150	887.0	380.0
80727	80827	100	898.0	428.0
81017	81087	70	896.0	356.0
81317	81397	80	907.0	353.0
81467	81617	150	819.0	374.0
81747	81817	70	797.0	485.0
82157	82316	160	834.0	344.0
82336	82646	310	913.0	280.0
82816	82906	90	965.0	309.0
82986	83106	120	903.0	294.0
83116	83186	70	956.0	330.0
83556	83706	150	910.0	302.0
83726	83846	120	902.0	314.0
83866	84085	220	816.0	359.0
84105	84385	280	901.0	295.0
84485	84555	70	763.0	387.0
84745	84815	70	750.0	395.0
84825	84945	120	819.0	363.0
85025	85145	120	810.0	346.0
