event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	165	165	
Fixation	285	495	210	
Fixation	555	1014	460	
Fixation	1104	1474	370	
Saccade	1474	1504	30	
Saccade	1524	1554	30	
Saccade	1564	1604	40	
Saccade	1694	1764	70	
Saccade	1794	1814	20	
Saccade	1834	1854	20	
Saccade	1864	1964	100	
Saccade	2074	2134	60	
Saccade	2264	2354	90	
Fixation	2374	2484	110	
Saccade	2544	2564	20	
Saccade	2613	2633	20	
Fixation	2653	2843	190	
Saccade	2843	2863	20	
Saccade	2943	2973	30	
Fixation	3053	3283	230	
Fixation	3323	3433	110	
Fixation	3453	3573	120	
Fixation	3593	3833	240	
Saccade	3833	3873	40	6.79
Fixation	3873	4282	410	
Fixation	4302	4572	270	
Fixation	4592	4672	80	
Saccade	4672	4682	10	3.21
Fixation	4682	4812	130	
Fixation	4852	5272	420	
Fixation	5292	5382	90	
Fixation	5402	5522	120	
Saccade	5582	5612	30	
Fixation	5612	6121	510	
Saccade	6191	6261	70	
Fixation	6261	6521	260	
Fixation	6541	6671	130	
Saccade	6671	6721	50	
Saccade	6821	6841	20	
Saccade	6881	6901	20	
Fixation	6901	7041	140	
Saccade	7041	7081	40	
Fixation	7101	7281	180	
Fixation	7301	7501	200	
Fixation	7541	7780	240	
Fixation	7800	7920	120	
Fixation	7940	8050	110	
Fixation	8110	8240	130	
Fixation	8260	8340	80	
Saccade	8360	8410	50	
Saccade	8460	8500	40	
Saccade	8520	8540	20	
Fixation	8540	8610	70	
Saccade	8610	8640	30	
Fixation	8660	8750	90	
Fixation	8790	8990	200	
Fixation	9060	9400	340	
Saccade	9400	9469	70	25.84
Fixation	9469	9599	130	
Saccade	9669	9709	40	
Fixation	9709	9899	190	
Fixation	9919	9999	80	
Fixation	10039	10289	250	
Saccade	10399	10469	70	
Saccade	10509	10529	20	
Fixation	10589	10669	80	
Saccade	10669	10699	30	
Saccade	10719	10749	30	
Saccade	10789	10839	50	
Fixation	10859	10969	110	
Fixation	10989	11099	110	
Fixation	11138	11268	130	
Fixation	11318	11398	80	
Fixation	11418	11548	130	
Saccade	11568	11588	20	
Fixation	11588	11688	100	
Fixation	11708	11848	140	
Fixation	11958	12088	130	
Fixation	12108	12218	110	
Saccade	12288	12308	20	
Fixation	12308	12388	80	
Fixation	12408	12518	110	
Fixation	12558	12668	110	
Saccade	12738	12758	20	
Fixation	12838	13087	250	
Fixation	13107	13277	170	
Saccade	13277	13287	10	4.05
Fixation	13287	13447	160	
Saccade	13447	13477	30	
Fixation	13587	13747	160	
Fixation	13807	13907	100	
Saccade	13927	13957	30	
Fixation	13957	14037	80	
