event_type	start_time	end_time	duration	saccade_amplitude
Saccade	26270	26300	30	
Saccade	26340	26360	20	
Saccade	26400	26450	50	
Saccade	26500	26510	10	
Saccade	26530	26540	10	
Saccade	26560	26570	10	
Saccade	26600	26620	20	
Fixation	26620	26760	140	
Saccade	26760	26790	30	8.76
Fixation	26790	27010	220	
Fixation	27020	27739	720	
Saccade	27739	27769	30	
Fixation	27929	27999	70	
Saccade	27999	28019	20	
Saccade	28059	28109	50	
Fixation	28109	28259	150	
Saccade	28259	28279	20	
Saccade	28289	28309	20	
Saccade	28329	28359	30	
Saccade	28379	28449	70	
Saccade	28459	28469	10	
Fixation	28469	28609	140	
Saccade	28609	28639	30	
Saccade	28679	28719	40	
Fixation	28719	29648	929	
Saccade	29648	29668	20	
Saccade	29718	29728	10	
Fixation	29728	29818	90	
Saccade	29818	29858	40	6.2
Fixation	29858	30178	320	
Saccade	30178	30188	10	9.1
Fixation	30188	30508	320	
Saccade	30737	30787	50	
Fixation	30787	30877	90	
Saccade	30877	30897	20	6.86
Fixation	30897	31017	120	
Saccade	31017	31047	30	
Saccade	31057	31087	30	
Fixation	31087	31407	320	
Saccade	31407	31457	50	4.76
Fixation	31457	31937	480	
Saccade	31937	31957	20	5.22
Fixation	31957	32696	740	
Saccade	32696	32746	50	
Saccade	32756	32826	70	
Fixation	32826	33166	340	
Saccade	33166	33186	20	10.83
Fixation	33186	33396	210	
Saccade	33396	33436	40	0.59
Fixation	33436	33546	110	
Saccade	33546	33586	40	1.7
Fixation	33586	33966	380	
Saccade	33966	34006	40	8.95
Fixation	34006	34205	200	
Saccade	34205	34245	40	
Saccade	34285	34305	20	
Fixation	34305	34415	110	
Saccade	34415	34455	40	8.34
Fixation	34455	34585	130	
Saccade	34585	34595	10	1.93
Fixation	34595	34715	120	
Saccade	34715	34795	80	20.31
Fixation	34795	35235	440	
Saccade	35235	35345	110	
Fixation	35395	35695	300	
Saccade	35695	35725	30	
Fixation	35735	36024	290	
Saccade	36234	36254	20	
Saccade	36334	36354	20	
Saccade	36384	36404	20	
Fixation	36404	36474	70	
Saccade	36474	36484	10	4.2
Fixation	36484	36594	110	
Saccade	36594	36624	30	
Saccade	36684	36704	20	
Fixation	36744	36904	160	
Saccade	36904	36934	30	6.11
Fixation	36934	37553	620	
Saccade	37553	37573	20	
Saccade	37583	37603	20	
Saccade	37653	37683	30	
Saccade	37713	37733	20	
Saccade	37753	37763	10	
Fixation	37763	38413	650	
Saccade	38413	38433	20	2.47
Fixation	38433	38693	260	
Saccade	38693	38713	20	3.91
Fixation	38713	39113	400	
Saccade	39113	39123	10	4.83
Fixation	39123	39223	100	
Saccade	39223	39292	70	18.0
Fixation	39292	39362	70	
Saccade	39362	39382	20	2.35
Fixation	39382	39662	280	
Saccade	39662	39722	60	15.02
Fixation	39722	39952	230	
Saccade	39952	39992	40	
Saccade	40032	40052	20	
Saccade	40072	40092	20	
Fixation	40092	40312	220	
Saccade	40312	40402	90	
Saccade	40422	40452	30	
Fixation	40452	40562	110	
Saccade	40562	40582	20	8.37
Fixation	40582	40902	320	
Saccade	40902	40952	50	
Saccade	41061	41101	40	
Saccade	41141	41161	20	
Fixation	41161	41381	220	
Saccade	41381	41391	10	5.98
Fixation	41391	41501	110	
Saccade	41501	41521	20	
Saccade	41531	41541	10	
Saccade	41631	41661	30	
Saccade	41741	41791	50	
Fixation	41791	41861	70	
Saccade	41981	42051	70	
Saccade	42091	42131	40	
Saccade	42141	42161	20	
Saccade	42211	42221	10	
Fixation	42221	42291	70	
Saccade	42291	42311	20	6.06
Fixation	42311	42451	140	
Saccade	42451	42491	40	5.14
Fixation	42491	42850	360	
Saccade	42850	42860	10	3.81
Fixation	42860	43130	270	
Saccade	43130	43160	30	7.55
Fixation	43160	43260	100	
Saccade	43260	43300	40	1.16
Fixation	43300	43460	160	
Saccade	43460	43500	40	5.72
Fixation	43500	43940	440	
Saccade	43940	43950	10	3.82
Fixation	43950	44819	870	
Saccade	44819	44839	20	
Saccade	44879	44899	20	
Fixation	44899	45019	120	
Saccade	45069	45099	30	
Saccade	45129	45139	10	
Fixation	45139	45859	720	
Fixation	45929	46049	120	
Saccade	46049	46089	40	1.02
Fixation	46089	46338	250	
Fixation	46348	46478	130	
Saccade	46488	46518	30	
Fixation	46518	46858	340	
Saccade	46858	46878	20	4.52
Fixation	46878	47018	140	
Saccade	47028	47088	60	
Fixation	47088	47218	130	
Saccade	47218	47238	20	1.27
Fixation	47238	47538	300	
Saccade	47588	47618	30	
Saccade	47688	47708	20	
Saccade	47748	47778	30	
Fixation	47778	47868	90	
Saccade	47868	47908	40	11.11
Fixation	47908	48027	120	
Saccade	48027	48057	30	
Saccade	48157	48177	20	
Fixation	48177	48267	90	
Saccade	48267	48307	40	12.85
Fixation	48307	48537	230	
Saccade	48537	48557	20	10.1
Fixation	48557	49147	590	
Saccade	49147	49157	10	2.97
Fixation	49157	49736	580	
Saccade	49736	49776	40	
Saccade	49826	49866	40	
Saccade	49876	49906	30	
Saccade	49916	49946	30	
Fixation	49946	50066	120	
Saccade	50066	50086	20	
Saccade	50136	50156	20	
Fixation	50156	50866	710	
Saccade	50866	50906	40	
Saccade	50946	50966	20	
Saccade	50986	51006	20	
Saccade	51036	51126	90	
Saccade	51176	51196	20	
Saccade	51216	51226	10	
Fixation	51226	51535	310	
Saccade	51535	51595	60	
Saccade	51605	51645	40	
Fixation	51645	52245	600	
Saccade	52245	52275	30	12.29
Fixation	52275	52465	190	
Saccade	52465	52525	60	12.93
Fixation	52525	52965	440	
Saccade	52965	52995	30	
Saccade	53005	53035	30	
Fixation	53035	53264	230	
Saccade	53264	53334	70	
Fixation	53384	53454	70	
Saccade	53454	53474	20	
Fixation	53544	53684	140	
Saccade	53684	53714	30	
Saccade	53754	53774	20	
Saccade	53794	53844	50	
Saccade	53874	53894	20	
Fixation	53894	54024	130	
Saccade	54024	54044	20	4.2
Fixation	54044	54174	130	
Saccade	54174	54264	90	26.91
Fixation	54264	54804	540	
Saccade	54804	54814	10	4.3
Fixation	54814	55293	480	
Saccade	55293	55313	20	6.54
Fixation	55313	55853	540	
Saccade	55853	55903	50	
Fixation	55923	56383	460	
Saccade	56383	56393	10	4.03
Fixation	56393	56543	150	
Saccade	56543	56593	50	8.14
Fixation	56593	56942	350	
Saccade	56942	56962	20	3.3
Fixation	56962	57132	170	
Saccade	57132	57162	30	7.97
Fixation	57162	57402	240	
Saccade	57402	57432	30	4.85
Fixation	57432	57502	70	
Saccade	57502	57522	20	
Saccade	57542	57552	10	
Fixation	57552	57882	330	
Saccade	57882	57902	20	6.26
Fixation	57902	58581	680	
Saccade	58581	58591	10	3.39
Fixation	58591	59201	610	
Saccade	59201	59301	100	
Saccade	59311	59331	20	
Saccade	59351	59401	50	
Saccade	59441	59451	10	
Fixation	59451	59581	130	
Saccade	59581	59611	30	10.05
Fixation	59611	59891	280	
Saccade	59891	59911	20	
Saccade	59921	59961	40	
Fixation	59961	60190	230	
Saccade	60190	60270	80	
Saccade	60340	60380	40	
Fixation	60380	60460	80	
Saccade	60460	60470	10	6.8
Fixation	60470	60630	160	
Saccade	60630	60660	30	8.82
Fixation	60660	60740	80	
Saccade	60740	60780	40	7.77
Fixation	60780	65877	5097	
