event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	185	185	
Fixation	265	425	160	
Fixation	525	765	240	
Fixation	825	994	170	
Fixation	1014	1084	70	
Fixation	1264	1524	260	
Fixation	1564	1784	220	
Fixation	1824	2094	270	
Fixation	2114	2204	90	
Fixation	2224	2334	110	
Fixation	2424	2494	70	
Fixation	2514	2623	110	
Saccade	2663	2683	20	
Fixation	2683	2903	220	
Fixation	2923	3043	120	
Saccade	3113	3123	10	
Fixation	3213	3323	110	
Fixation	3343	3433	90	
Fixation	3473	3593	120	
Fixation	3613	3713	100	
Saccade	3793	3823	30	
Saccade	3843	3893	50	
Fixation	3893	4003	110	
Saccade	4043	4063	20	
Fixation	4063	4293	230	
Fixation	4312	4762	450	
Saccade	4762	4822	60	
Fixation	4882	4952	70	
Saccade	4952	4972	20	
Fixation	4992	5112	120	
Fixation	5162	5252	90	
Saccade	5252	5272	20	
Saccade	5292	5372	80	
Saccade	5412	5432	20	
Fixation	5432	5522	90	
Saccade	5522	5542	20	
Fixation	5632	5822	190	
Fixation	5842	6071	230	
Fixation	6111	6241	130	
Fixation	6261	7061	800	
Fixation	7081	7251	170	
Saccade	7251	7331	80	
Saccade	7341	7371	30	
Saccade	7401	7471	70	
Saccade	7511	7541	30	
Fixation	7541	7621	80	
Fixation	7641	7780	140	
Saccade	7780	7800	20	6.58
Fixation	7800	7890	90	
Fixation	7910	8120	210	
Saccade	8120	8130	10	
Saccade	8160	8230	70	
Saccade	8240	8250	10	
Fixation	8250	8340	90	
Saccade	8340	8360	20	
Saccade	8390	8410	20	
Fixation	8410	8480	70	
Saccade	8480	8510	30	
Saccade	8550	8570	20	
Saccade	8600	8630	30	
Fixation	8630	8730	100	
Saccade	8730	8750	20	2.29
Fixation	8750	8890	140	
Saccade	8890	8910	20	1.49
Fixation	8910	8990	80	
Saccade	8990	9010	20	
Saccade	9020	9040	20	
Saccade	9060	9110	50	
Saccade	9120	9190	70	
Saccade	9200	9270	70	
Fixation	9270	9340	70	
Saccade	9340	9370	30	
Fixation	9539	9689	150	
Saccade	9689	9709	20	
Saccade	9729	9809	80	
Saccade	9879	9889	10	
Fixation	9889	10049	160	
Fixation	10109	10289	180	
Saccade	10289	10299	10	3.46
Fixation	10299	10469	170	
Saccade	10469	10509	40	
Fixation	10529	10649	120	
Saccade	10649	10669	20	3.57
Fixation	10669	10759	90	
Fixation	10799	10939	140	
Saccade	10959	10989	30	
Fixation	10989	11079	90	
Fixation	11099	11169	70	
Saccade	11169	11179	10	3.19
Fixation	11179	11288	110	
Saccade	11358	11388	30	
Fixation	11388	11598	210	
Saccade	11598	11628	30	
Fixation	11648	11888	240	
Saccade	11888	11938	50	
Fixation	12048	12308	260	
Saccade	12378	12398	20	
Fixation	12478	12568	90	
Fixation	12648	12728	80	
Fixation	12878	13267	390	
Saccade	13377	13437	60	
Saccade	13457	13487	30	
Saccade	13507	13537	30	
Saccade	13577	13597	20	
Fixation	13597	13727	130	
Saccade	13797	13837	40	
Fixation	13897	13977	80	
Saccade	14027	14037	10	
Fixation	14127	14237	110	
Fixation	14307	14377	70	
Fixation	14397	14487	90	
Fixation	14547	14637	90	
Fixation	14657	14776	120	
Fixation	14796	15056	260	
Saccade	15126	15146	20	
Fixation	15246	15336	90	
Saccade	15336	15356	20	
Fixation	15376	15496	120	
Saccade	15596	15626	30	
Saccade	15666	15716	50	
Saccade	15726	15756	30	
Saccade	15816	15846	30	
Saccade	15926	15946	20	
Fixation	15946	16026	80	
Fixation	16066	16136	70	
Fixation	16196	16326	130	
Fixation	16346	16435	90	
Saccade	16515	16645	130	
Saccade	16685	16725	40	
Saccade	16785	16815	30	
Fixation	16915	17005	90	
Fixation	17025	17105	80	
Saccade	17235	17285	50	
Fixation	17325	17405	80	
Saccade	17535	17595	60	
Fixation	17895	17985	90	
Fixation	18025	18095	70	
Saccade	18095	18125	30	
Saccade	18164	18194	30	
Fixation	18314	18404	90	
Fixation	18444	18514	70	
Saccade	18514	18544	30	
Fixation	18594	18674	80	
Fixation	18874	18984	110	
Fixation	19174	19354	180	
Fixation	19464	19664	200	
Fixation	19774	19863	90	
Saccade	19863	19903	40	8.4
